iter	Passed	Remaining
743	5253	1807
744	5260	1800
745	5266	1793
746	5273	1785
747	5279	1778
748	5286	1771
749	5293	1764
750	5299	1756
751	5305	1749
752	5311	1742
753	5317	1734
754	5323	1727
755	5330	1720
756	5337	1713
757	5343	1705
758	5349	1698
759	5355	1691
760	5361	1683
761	5367	1676
762	5373	1669
763	5380	1661
764	5386	1654
765	5392	1647
766	5398	1639
767	5404	1632
768	5410	1625
769	5417	1618
770	5423	1610
771	5430	1603
772	5438	1596
773	5444	1589
774	5451	1582
775	5458	1575
776	5465	1568
777	5473	1561
778	5480	1554
779	5486	1547
780	5493	1540
781	5499	1533
782	5505	1525
783	5511	1518
784	5518	1511
785	5528	1505
786	5534	1498
787	5541	1490
788	5547	1483
789	5554	1476
790	5560	1469
791	5567	1462
792	5573	1454
793	5579	1447
794	5586	1440
795	5592	1433
796	5598	1426
797	5605	1418
798	5611	1411
799	5617	1404
800	5624	1397
801	5632	1390
802	5638	1383
803	5645	1376
804	5651	1369
805	5657	1361
806	5665	1354
807	5674	1348
808	5685	1342
809	5702	1337
810	5711	1331
811	5721	1324
812	5730	1318
813	5736	1310
814	5743	1303
815	5750	1296
816	5758	1289
817	5764	1282
818	5771	1275
819	5777	1268
820	5783	1261
821	5790	1253
822	5795	1246
823	5802	1239
824	5808	1232
825	5815	1225
826	5821	1217
827	5828	1210
828	5834	1203
829	5841	1196
830	5848	1189
831	5854	1182
832	5860	1174
833	5868	1168
834	5874	1160
835	5881	1153
836	5887	1146
837	5894	1139
838	5900	1132
839	5907	1125
840	5914	1118
841	5921	1111
842	5928	1104
843	5934	1096
844	5941	1089
845	5947	1082
846	5954	1075
847	5960	1068
848	5966	1061
849	5973	1054
850	5980	1047
851	5986	1039
852	5993	1032
853	6000	1025
854	6006	1018
855	6013	1011
856	6019	1004
857	6026	997
858	6033	990
859	6040	983
860	6047	976
861	6054	969
862	6062	962
863	6069	955
864	6077	948
865	6083	941
866	6089	934
867	6096	927
868	6103	920
869	6109	912
870	6116	905
871	6123	898
872	6130	891
873	6136	884
874	6143	877
875	6149	870
876	6156	863
877	6162	856
878	6169	849
879	6175	842
880	6182	835
881	6188	827
882	6195	820
883	6201	813
884	6208	806
885	6214	799
886	6220	792
887	6228	785
888	6235	778
889	6241	771
890	6247	764
891	6254	757
892	6260	750
893	6267	743
894	6273	736
895	6280	728
896	6287	721
897	6293	714
898	6299	707
899	6306	700
900	6316	694
901	6322	686
902	6328	679
903	6335	672
904	6341	665
905	6347	658
906	6354	651
907	6360	644
908	6366	637
909	6373	630
910	6379	623
911	6385	616
912	6392	609
913	6399	602
914	6405	595
915	6412	588
916	6418	580
917	6426	574
918	6433	567
919	6440	560
920	6447	553
921	6454	546
922	6461	539
923	6468	532
924	6474	524
925	6480	517
926	6487	510
927	6493	503
928	6500	496
929	6506	489
930	6513	482
931	6519	475
932	6526	468
933	6533	461
934	6539	454
935	6546	447
936	6552	440
937	6559	433
938	6566	426
939	6572	419
940	6578	412
941	6585	405
942	6591	398
943	6598	391
944	6605	384
945	6611	377
946	6618	370
947	6625	363
948	6631	356
949	6639	349
950	6645	342
951	6652	335
952	6659	328
953	6666	321
954	6673	314
955	6679	307
956	6685	300
957	6692	293
958	6698	286
959	6703	279
960	6710	272
961	6716	265
962	6722	258
963	6729	251
964	6735	244
965	6741	237
966	6748	230
967	6754	223
968	6760	216
969	6767	209
970	6773	202
971	6780	195
972	6786	188
973	6793	181
974	6799	174
975	6806	167
976	6813	160
977	6820	153
978	6826	146
979	6833	139
980	6841	132
981	6848	125
982	6855	118
983	6862	111
984	6868	104
985	6875	97
986	6881	90
987	6888	83
988	6894	76
989	6900	69
990	6907	62
991	6913	55
992	6920	48
993	6926	41
994	6933	34
995	6940	27
996	6946	20
997	6953	13
998	6959	6
999	6965	0
